# mc delta_mc R14 log_alpha_dyn log_f_disk beta_phi theta a1z a2z sigma_sys md vd mw vw lnL lnp lnps weights
1.186009962869032819e+00 1.677510632970367066e-01 1.372921667045172534e+01 7.935185117596332827e-02 -1.052176063736884437e+00 7.001626172622601452e-01 5.692658801355076292e+00 2.647125134894345866e-02 1.015932213460664715e-02 8.628559163324940329e+00 1.798694460935157391e-02 1.404955540399813463e-01 2.646103982841853386e-02 1.404955540399813463e-01 -2.179111654882660787e+00 -3.642312529572754976e+00 2.038952485717884144e+01 1.579885201469227859e-04
1.185950893609609924e+00 1.795715519424691820e-01 1.668177067881380893e+01 5.337173953700756757e-01 -1.282823227932020860e+00 2.521322699872496909e-01 4.870170552562369082e+00 2.642006868287490040e-02 7.927463554068040624e-03 6.103364578065731960e-01 1.855446505999274256e-02 1.419504907844025832e-01 2.814913949672409599e-02 1.419504907844025832e-01 -5.827164378710335768e+00 -4.121516857662665068e+00 2.038952485717884144e+01 2.547889377062214249e-06
1.186023749947571426e+00 1.928168807463815082e-01 1.690290962796579066e+01 4.071487963094191365e-01 -1.323292488516541798e+00 2.532045232526336509e-01 5.560017325505495656e+00 2.796989121211690410e-02 2.051655537987231298e-02 7.002924266216489002e+00 1.717450110798941776e-02 1.372924429312084027e-01 2.679673206707166092e-02 1.372924429312084027e-01 -7.898008652553016873e-01 -3.707350889648219461e+00 2.038952485717884144e+01 5.939497991889176008e-04
1.185974327634342629e+00 1.678000970403919212e-01 1.551990055588464834e+01 3.510611726714564784e-01 -1.222246021387641823e+00 3.570315663585886257e-01 5.430981881917446685e+00 2.412984609510232525e-02 9.425980830162883350e-03 5.680965314205062455e+00 2.045181036086210491e-02 1.470675155493503528e-01 2.661699557648170358e-02 1.470675155493503528e-01 -3.682693525390163813e-01 -3.793447795496207586e+00 2.038952485717884144e+01 8.306673463768075470e-04
1.185943669440890247e+00 1.852470372238182172e-01 1.738335516208870501e+01 8.696284757077538119e-01 -1.335387420436048966e+00 2.254519019374829902e-01 5.458574823949360777e+00 1.496065191428902486e-02 2.277119596601053647e-02 5.308288093224082793e+00 1.854354558716960963e-02 1.367215225330196404e-01 2.739192304347271706e-02 1.367215225330196404e-01 -1.741259162500000457e+00 -3.769778923766130774e+00 2.038952485717884144e+01 2.154886998501367534e-04
1.185932932994960609e+00 1.653369028651361372e-01 1.637676395205436464e+01 5.846229504820448231e-01 -1.280892181344480907e+00 4.109305402167054422e-01 5.671064382025420514e+00 2.298109271732585307e-02 1.267164090823470757e-02 3.721624674872932470e+00 1.770687276489547879e-02 1.362047038169839908e-01 2.658904691096975262e-02 1.362047038169839908e-01 -2.400339486718223725e+00 -3.655737639086468871e+00 2.038952485717884144e+01 1.249444741408580470e-04
1.185952927353923325e+00 1.625830764446601628e-01 1.643756200740644857e+01 7.185586624651637555e-01 -1.276105553045491670e+00 2.131428203031779378e-01 5.740348336637132398e+00 1.105321880734246379e-02 2.781324720073100401e-02 1.341961725252034476e+01 2.012572010158188845e-02 1.500023012640512021e-01 2.701963817803214665e-02 1.500023012640512021e-01 -4.993019656410240259e+00 -3.617219752022653001e+00 2.038952485717884144e+01 9.715350390252705515e-06
1.185963258647579233e+00 1.728080539531717252e-01 1.560908323090989214e+01 3.192047759933107631e-01 -1.224008435652839344e+00 3.893298180147203302e-01 5.225094755151597603e+00 1.953468629025735884e-02 1.072175213403126458e-02 3.639792884649722282e+00 1.989199359253832414e-02 1.431489815352687267e-01 2.714987381682840845e-02 1.431489815352687267e-01 -3.169691767577774044e+00 -3.912179794339525785e+00 2.038952485717884144e+01 4.479403555512521473e-05
1.185942939642123051e+00 1.854316994118117568e-01 1.647915174322553611e+01 3.725169931891219588e-01 -1.281872123385612294e+00 2.375947991060981535e-01 5.312482293833665992e+00 6.780912960622786229e-03 3.452196386029948716e-02 3.219881468658937429e+00 1.785283884903766591e-02 1.436117043738520116e-01 2.764708271509529539e-02 1.436117043738520116e-01 -2.709795028711027953e+00 -3.855097081138723958e+00 2.038952485717884144e+01 7.511756711255771260e-05
1.185957446350158984e+00 1.836457216293500561e-01 1.481389482940193325e+01 1.487486010794686342e-01 -1.164747516213958001e+00 3.366177016460825122e-01 5.342718048769457440e+00 1.492539278757626202e-02 2.663818884246927504e-02 3.967443925396345605e+00 2.043439469443204468e-02 1.530980944403438904e-01 2.740585389855526577e-02 1.530980944403438904e-01 -4.490012181445479200e+00 -3.838158489874737622e+00 2.038952485717884144e+01 1.288129019687809982e-05
1.186011583714485340e+00 1.923813905912498678e-01 1.678763165756209830e+01 4.381796250240406199e-01 -1.321025994448022045e+00 1.972447505184648231e-01 5.413545406845236663e+00 2.614148760877589225e-02 2.776978354264774893e-02 7.169175468843587140e+00 1.993439051208085316e-02 1.422316777058020287e-01 2.653559228297865460e-02 1.422316777058020287e-01 -4.688334796874755739e-01 -3.792601361717438113e+00 2.038952485717884144e+01 7.518311138941621190e-04
1.185964243326249390e+00 1.636370344646054520e-01 1.375528623970002506e+01 1.622785282845973232e-01 -1.046339092710714347e+00 6.146957308795903963e-01 5.655753500798529565e+00 2.637115127711662024e-02 9.567119162716720970e-03 9.837694210487498481e+00 2.081720478093397955e-02 1.466836942735971205e-01 2.670426036007474829e-02 1.466836942735971205e-01 -3.579167029882626139e+00 -3.665181188052921701e+00 2.038952485717884144e+01 3.807653981566106317e-05
1.185941212200241957e+00 1.732080945217381041e-01 1.443069454147418007e+01 1.161121689394251089e-01 -1.132381732982903122e+00 4.036598271858856113e-01 5.186683969601578070e+00 2.235480193581884309e-02 9.008090206783253562e-03 1.325631593807109709e+01 1.831755053639480893e-02 1.537622777059124979e-01 2.662670542079141611e-02 1.537622777059124979e-01 -6.010977720702442184e+00 -3.934757290623588144e+00 2.038952485717884144e+01 2.555407101577991093e-06
1.185930110084409739e+00 1.889542126948910994e-01 1.658863361573779471e+01 4.413053284002013132e-01 -1.298999027188034283e+00 2.761018528890698542e-01 5.341979140961747419e+00 2.239234245029892920e-02 1.557049921411442564e-02 5.655132840242664827e-01 2.116476483209151632e-02 1.392623602023742857e-01 2.709343846719000984e-02 1.392623602023742857e-01 -4.304413280859023416e+00 -3.836155873501667646e+00 2.038952485717884144e+01 1.553937931751619720e-05
1.185960960608316794e+00 1.609286375493075849e-01 1.527342298300234447e+01 3.585146339476197319e-01 -1.208587686185992549e+00 3.582516013702004565e-01 5.550073079385068553e+00 1.423468876378346758e-02 2.022776677681242113e-02 1.022855336355633149e+01 2.074753339333664653e-02 1.503595313339560202e-01 2.593643057470030461e-02 1.503595313339560202e-01 -4.874647578905637602e+00 -3.727126960958811352e+00 2.038952485717884144e+01 9.797938610469838919e-06
1.185947922658146858e+00 1.788697491584868016e-01 1.577413452623645895e+01 2.946798946144770781e-01 -1.233625903153037662e+00 4.645604280194634561e-01 5.963489869282085465e+00 1.437986614606125146e-02 2.237636053280189080e-02 8.788802735801443333e+00 1.936998784705967758e-02 1.355449732452247147e-01 2.755836552925095689e-02 1.355449732452247147e-01 -4.751431399241937470e+00 -3.484068797498673931e+00 2.038952485717884144e+01 1.413206544978559521e-05
1.185956449855390060e+00 1.508076594515373181e-01 1.460640403797189890e+01 2.818962817795668263e-01 -1.131160458344684372e+00 6.627278422018800796e-01 5.658445769497850719e+00 1.582177564127919267e-02 1.757488486420778415e-02 4.064149164985697560e+00 1.941755938863361231e-02 1.364857037551674146e-01 2.639730433970839327e-02 1.364857037551674146e-01 -3.777239821288560506e+00 -3.668607028828759109e+00 2.038952485717884144e+01 3.112775009748724477e-05
