# mc delta_mc R14 log_alpha_dyn log_f_disk theta a1z a2z sigma_sys md vd mw vw lnL lnp lnps weights
1.186078034746603116e+00 1.024421465484852412e-01 2.271912876659681402e+01 1.810162925653867827e+00 -8.172047756372660121e-01 5.888708416007666813e+00 1.466147295195059999e-02 1.692936138809809921e-02 1.458389563445892101e+01 2.035903367388856161e-02 1.343625486478284836e-01 2.694287475996189757e-02 1.343625486478284836e-01 -4.982905099509650881e+00 -1.878442383434834495e+00 1.962632995089770205e+01 1.443875103456993096e-05
1.186007161803553034e+00 1.707258336660692211e-01 1.857569131690417663e+01 1.089874845568483686e+00 -8.310603084071808144e-01 5.821330252386368365e+00 3.012910703095848103e-02 1.833124965248327225e-03 9.754902504305515976e+00 1.970326779505357506e-02 1.460716393647174538e-01 2.603335105566548929e-02 1.460716393647174538e-01 -6.620878608834061652e+00 -1.893787831060160798e+00 1.962632995089770205e+01 2.763772735070832707e-06
1.186054506606259995e+00 1.132766958258903389e-01 2.170945866493425669e+01 1.677505259076582211e+00 -8.316529596202713037e-01 5.249193471231101249e+00 2.379272331887886949e-02 6.955577059942263940e-03 1.300045097140312933e+01 2.038636700240774313e-02 1.376525858718750106e-01 2.605593212324397445e-02 1.376525858718750106e-01 -3.001028205311058628e+00 -2.244779324376323881e+00 1.962632995089770205e+01 7.263563121580648280e-05
1.186073538014346784e+00 1.116878100501130233e-01 2.180932603537708658e+01 1.702503501833902311e+00 -8.206698810459632787e-01 5.579888467999425394e+00 2.140392401158131355e-02 9.183132516118901190e-03 1.449233042237965119e+00 2.085500492172734019e-02 1.373983298154060062e-01 2.672397058505157977e-02 1.373983298154060062e-01 -1.610900442819513501e+00 -2.052264173708452599e+00 1.962632995089770205e+01 3.535760168064456437e-04
1.186077051048542774e+00 1.059308154626352888e-01 2.193069870484355022e+01 1.720548891012344761e+00 -8.187791193326516836e-01 5.721013986216641811e+00 2.582720313708913168e-02 3.987971434087118558e-03 1.028280815186380082e+01 2.025136385377530879e-02 1.377138368383253875e-01 2.684176490211551830e-02 1.377138368383253875e-01 -1.825496133871126858e+00 -1.972779132256232248e+00 1.962632995089770205e+01 3.088908113395399100e-04
1.185925568555073584e+00 1.618856267782179392e-01 1.991911316830841017e+01 1.208327304449499540e+00 -8.064174734354470075e-01 5.676144419483930115e+00 2.703827094138394962e-02 1.809117658833038532e-03 1.029867308303677120e+01 1.703417245702253807e-02 1.384482377562439304e-01 2.758758979191498414e-02 1.384482377562439304e-01 -6.521787785591470765e+00 -1.980248751803529883e+00 1.962632995089770205e+01 2.798900277015089523e-06
1.186065713628628115e+00 1.077615625447114894e-01 2.005239041671715938e+01 1.546040081921068676e+00 -8.443761884497432701e-01 5.630021050830470664e+00 2.219445381028314901e-02 8.853599085589993617e-03 1.614713907793066383e+01 2.088173066934542049e-02 1.479965001720153772e-01 2.529248808200302776e-02 1.479965001720153772e-01 -3.332535096183278256e+00 -2.024450877669646154e+00 1.962632995089770205e+01 6.499284229961093599e-05
1.186075044066738471e+00 1.047691976952723758e-01 2.126907390071337645e+01 1.687447263390133179e+00 -8.395921570463836803e-01 5.506311947704528365e+00 1.028745759388168327e-02 2.279105405206620361e-02 2.013380227938184941e+00 2.156400910315599967e-02 1.414014844488729050e-01 2.558239795358833654e-02 1.414014844488729050e-01 -2.911170214053640848e+00 -2.096628859729772199e+00 1.962632995089770205e+01 9.215427229451600834e-05
1.186050877678257676e+00 1.246461721750744406e-01 1.915107999670129146e+01 1.364308359645225455e+00 -8.357809224632666290e-01 5.835158973667770255e+00 2.194398068708388119e-02 1.108089325278903067e-02 1.606117183823243266e+01 1.931568220511637596e-02 1.511298700690628660e-01 2.578290763398458432e-02 1.511298700690628660e-01 -6.890439111437729025e+00 -1.902618167733322041e+00 1.962632995089770205e+01 2.092178442331193268e-06
1.186070086269858548e+00 1.090937920200952677e-01 2.110731500804630301e+01 1.590036434087964246e+00 -8.097499553672732331e-01 5.826259760392683340e+00 2.339074199023528922e-02 7.223171041697272823e-03 3.376900323391728964e+00 1.844979370209277186e-02 1.416111990114743424e-01 2.740049689110434297e-02 1.416111990114743424e-01 -2.925719926919100544e+00 -1.912068732863579923e+00 1.962632995089770205e+01 1.092320435572461621e-04
