# mc delta_mc R14 log_alpha_dyn log_f_disk theta s1z s2z sigma_sys md vd mw vw lnL lnp lnps weights
1.186249909557787863e+00 5.264820360719733028e-01 1.257684591341534386e+01 9.900085484393447155e-01 -1.124197117641430488e+00 5.324989280717121076e+00 3.603604300073020433e-02 7.664081828478298657e-03 7.651607229537692234e+00 1.815864807003488013e-02 1.401687450483495301e-01 2.646651735801200389e-02 1.401687450483495301e-01 -8.949432373046875000e-01 -2.924597782589861694e+00 1.415409528837334996e+01 1.019748805731791625e-04
1.186172299500811711e+00 3.326644091147020754e-01 1.474089508083472566e+01 -1.852457462456724269e+00 -1.055570080002740330e+00 5.708071196665742697e+00 1.307480119871475867e-02 2.501240869220973384e-02 1.547468696875686778e+00 2.138246002022479650e-02 1.413043738671516669e-01 2.622077225123285379e-02 1.413043738671516669e-01 -1.177795410156250000e+00 -2.951510225965064738e+00 1.415409528837334996e+01 7.481077293744397227e-05
1.186521996746030982e+00 3.851565630496581183e-01 1.405464376837565155e+01 -1.287502802352149311e+00 -1.087424608976277574e+00 5.363290638227338647e+00 2.691957069075643152e-02 2.616257027754817152e-02 8.914197181414071025e+00 1.744495045037383271e-02 1.361087210746225740e-01 2.654188817557201138e-02 1.361087210746225740e-01 -1.405303955078125000e+00 -3.098745133075909042e+00 1.415409528837334996e+01 5.142983470519196744e-05
1.185768721484921739e+00 3.412829896063071522e-01 1.448098706949843795e+01 -1.503490584663656815e+00 -1.056169048587119796e+00 5.469985745698513924e+00 3.464724864756841410e-02 1.315051297240825250e-02 3.838212002275986912e+00 2.117378688534657036e-02 1.428676148655436684e-01 2.665119923469290442e-02 1.428676148655436684e-01 -7.778778076171875000e-01 -3.081229012988082605e+00 1.415409528837334996e+01 9.801893882873489593e-05
1.186920807306932391e+00 4.804559955317866948e-01 1.280385988651269180e+01 4.494416421992064592e-01 -1.127152359869532772e+00 5.416400149240621076e+00 3.414875776163030924e-02 4.876435310643885976e-04 5.376625591046099828e+00 1.975297733078814483e-02 1.409728319190781676e-01 2.597590478221383989e-02 1.409728319190781676e-01 -6.092071533203125000e-01 -2.945116531128878279e+00 1.415409528837334996e+01 1.329461088525503703e-04
1.186820653043428875e+00 4.792246415944659277e-01 1.290054404406631683e+01 2.728402376191815248e-01 -1.116553794684375767e+00 5.463121221782136772e+00 2.744995248366793785e-03 1.418250311986514640e-02 9.449103459516660308e+00 1.853631551443823619e-02 1.377219202403160425e-01 2.660610925138734775e-02 1.377219202403160425e-01 -2.826995849609375000e-01 -2.919832328525725273e+00 1.415409528837334996e+01 1.889978464353170935e-04
1.186913382242132720e+00 3.501216315761151998e-01 1.457465039370286597e+01 -1.776775830187926175e+00 -1.070461448415240602e+00 5.485098314167796474e+00 2.154911767391684205e-02 3.300303017424233154e-02 1.512096445302812675e-01 2.064677015730645784e-02 1.382739115219052684e-01 2.620382606537430617e-02 1.382739115219052684e-01 -7.883148193359375000e-01 -3.063156411267229817e+00 1.415409528837334996e+01 9.877023590611062301e-05
1.186347494583525286e+00 5.864450790360655752e-01 1.258159430667443601e+01 1.594526899996105751e+00 -1.145723568266583614e+00 4.921621712336389898e+00 1.144714201977328413e-02 3.915891301721887569e-02 2.581421217907391430e+00 1.775733199984946831e-02 1.358455163350655859e-01 2.525067582571772010e-02 1.358455163350655859e-01 -6.342437744140625000e+00 -3.048303074276095703e+00 1.415409528837334996e+01 3.881073569514714116e-07
1.185850222035609303e+00 4.190622798866892040e-01 1.335523489730695701e+01 -3.275975695916139019e-01 -1.101050476461578498e+00 5.612546061109414453e+00 2.126436784175092867e-02 2.421719428502423777e-02 4.373902600599278045e+00 2.017373589022099581e-02 1.414349380813978430e-01 2.662669382852935265e-02 1.414349380813978430e-01 -1.317901611328125000e-01 -2.915573671786234833e+00 1.415409528837334996e+01 2.207219359725639694e-04
1.185925351659370852e+00 3.905817888691004436e-01 1.363433412668101319e+01 -6.215256201162746574e-01 -1.069365077796633035e+00 5.557816756169085437e+00 3.284117476449157497e-02 2.245680952056718777e-02 7.855005757173719516e+00 1.974394168149821993e-02 1.437659113927802768e-01 2.785210678417460867e-02 1.437659113927802768e-01 -1.803726196289062500e+00 -2.980171381042732826e+00 1.415409528837334996e+01 3.887572254244311612e-05
1.185503300274225902e+00 5.314527268608232324e-01 1.247106136343589711e+01 1.184316519243193477e+00 -1.117763822836012277e+00 5.424848111261828976e+00 8.083788361786031426e-03 3.927823381170059136e-02 6.720105246325343451e+00 1.742407533007500620e-02 1.440140266725919993e-01 2.688581644848989441e-02 1.440140266725919993e-01 -1.527206420898437500e+00 -2.858047422818819960e+00 1.415409528837334996e+01 5.791715863986619838e-05
1.185777395317545668e+00 2.934112759626354983e-01 1.507580666375793754e+01 -1.945189258072914207e+00 -1.031127398238409931e+00 5.794105545532818979e+00 6.483680873627978465e-03 2.336240519127558146e-02 3.660101735105319776e+00 2.065074390962219619e-02 1.489557961077652148e-01 2.502540359244207965e-02 1.489557961077652148e-01 -3.259094238281250000e+00 -2.935517687876090687e+00 1.415409528837334996e+01 9.484468896745549326e-06
1.186933146637930037e+00 4.483193675433280734e-01 1.292080554911043855e+01 1.912459145921803216e-01 -1.110589194230546806e+00 5.524058624038936216e+00 3.286262867603866045e-02 3.024607603581029591e-02 2.797641628213502152e+00 1.796923723251898572e-02 1.457028165112183027e-01 2.657903460637237730e-02 1.457028165112183027e-01 -1.280258178710937500e+00 -2.928221798168616274e+00 1.415409528837334996e+01 6.911609017078489483e-05
1.186941754727665721e+00 4.217719293471742237e-01 1.337813303584446523e+01 -3.456800225919003378e-01 -1.105427993261804742e+00 5.525886916831032281e+00 1.518855805631048016e-02 4.577650051433422573e-02 1.150198508001369468e+01 2.126043057493089833e-02 1.402549006614931537e-01 2.640900033801301880e-02 1.402549006614931537e-01 -8.741149902343750000e-01 -2.961354961777876937e+00 1.415409528837334996e+01 1.003633982921734542e-04
