# mc delta_mc R14 log_alpha_dyn log_f_disk theta s1z s2z sigma_sys md vd mw vw lnL lnp lnps weights
1.186366981783758989e+00 2.474988115304757597e-01 1.652660172204717526e+01 -3.036075996950549083e-02 -1.342361567326409100e+00 5.521260128019985558e+00 2.407885842480860655e-02 2.202432973600740307e-02 1.059967898237795403e+01 1.981502099750584445e-02 1.445673815084411729e-01 2.592352986728243755e-02 1.445673815084411729e-01 -5.995635986328125000e-01 -3.123723537452789856e+00 1.420943642874459911e+01 6.956858625651534767e-05
1.185500454001076953e+00 2.618216633554101835e-01 1.626323171855029059e+01 -5.738833922111807873e-02 -1.340379123156658858e+00 5.355391955114930269e+00 2.581684057647993386e-02 1.764990238791459484e-02 6.747205539278550823e+00 2.303415794434327674e-02 1.430480307982544552e-01 2.560734329455847599e-02 1.430480307982544552e-01 -3.448059082031250000e+00 -3.211705395128544804e+00 1.420943642874459911e+01 3.690772469565911464e-06
1.185806877608936327e+00 4.965396409352377249e-01 1.288694234016544016e+01 -8.538193686262232074e-01 -1.239024406880300466e+00 5.357520514658688171e+00 6.081433821925339225e-03 1.455772372040201913e-02 8.469559939691565509e-01 1.913468379555128759e-02 1.332449317751747131e-01 2.616298707877464172e-02 1.332449317751747131e-01 -2.585769653320312500e+00 -2.955702522128686116e+00 1.420943642874459911e+01 1.129237906535269462e-05
1.186450339089692330e+00 2.234821614134165080e-01 1.714672002103838366e+01 2.124349813345911553e-01 -1.360657674165746567e+00 5.627704328963269553e+00 9.080296558918994274e-03 3.708803868300905582e-02 1.306466628759988780e+01 1.966648648551518053e-02 1.450663813881092334e-01 2.609265823075961402e-02 1.450663813881092334e-01 -4.484710693359375000e-01 -3.076605729492352115e+00 1.420943642874459911e+01 8.481932922695922784e-05
1.186323274286112062e+00 4.314964940781834679e-01 1.288594247127246106e+01 -6.856433708306264307e-01 -1.206268348362603771e+00 5.899855728163506008e+00 1.523525514186709756e-02 2.288635143479738829e-02 3.765356481070083916e+00 1.988607869039287629e-02 1.513811651636877142e-01 2.607460924751362971e-02 1.513811651636877142e-01 -2.688385009765625000e+00 -2.735985229267523522e+00 1.420943642874459911e+01 1.269527675984846898e-05
1.186063621894250852e+00 4.236687182111424921e-01 1.324281200218175236e+01 -6.526317852374835526e-01 -1.233168167288468009e+00 5.440882387877254089e+00 3.413496788336258664e-02 4.708585216967224596e-02 6.712043309831729587e+00 2.084482146628481233e-02 1.431442989583108227e-01 2.574500001377657415e-02 1.431442989583108227e-01 -1.089965820312500000e+00 -3.009111153906739222e+00 1.420943642874459911e+01 4.777599326707891963e-05
1.187173852864839674e+00 4.390299202677289125e-01 1.291158178221011710e+01 -7.231796333762102735e-01 -1.196287109170439233e+00 5.161988797951547525e+00 7.004793866388651404e-03 1.912679335141722475e-02 8.763978110009798428e+00 1.903594549660954718e-02 1.487299656176063190e-01 2.704555292001515135e-02 1.487299656176063190e-01 -2.133361816406250000e+00 -3.152609354485903737e+00 1.420943642874459911e+01 1.457968445104802249e-05
1.186626573817895602e+00 3.826021666741839522e-01 1.387427411088536644e+01 -6.425708986363620756e-01 -1.237742515519072661e+00 5.675312911676647865e+00 1.600355337590762816e-02 2.408975619272617566e-02 4.954182255760158249e+00 1.709363955675674909e-02 1.410857679617097959e-01 2.672027150677325907e-02 1.410857679617097959e-01 -1.424835205078125000e+00 -2.920685125627006329e+00 1.420943642874459911e+01 3.734055210699085416e-05
1.186943361123175444e+00 3.004979674747969010e-01 1.540344804071957263e+01 -3.477956601753074972e-01 -1.297796107804979560e+00 5.447076116942004553e+00 4.249410972920115298e-02 2.849324959496742776e-02 6.780208679316942266e+00 1.858544195789266218e-02 1.419872874594485523e-01 2.632892487824975078e-02 1.419872874594485523e-01 -4.892578125000000000e-01 -3.128598850161211864e+00 1.420943642874459911e+01 7.730383698852703151e-05
1.186801167550195713e+00 2.172312957092119023e-01 1.739748816046547475e+01 2.708068647682828622e-01 -1.351661386837380574e+00 5.675206723513189999e+00 5.078544553354033542e-03 3.802374515858603782e-02 7.749551609575267896e+00 1.720238201498964711e-02 1.444264770786624075e-01 2.722231292637003822e-02 1.444264770786624075e-01 -2.290237426757812500e+00 -3.052521028005898973e+00 1.420943642874459911e+01 1.377481327902569159e-05
1.185614223936362288e+00 2.751674378113388442e-01 1.620328477233019981e+01 -1.965934750854989588e-01 -1.303829374911935401e+00 5.574552239817013977e+00 7.787276821065436221e-03 3.957036275206852333e-02 1.053877572624766579e+01 1.935353098395081045e-02 1.394677646107436164e-01 2.801313955769450456e-02 1.394677646107436164e-01 -2.225509643554687500e+00 -3.074920943156226105e+00 1.420943642874459911e+01 1.437038753319137701e-05
1.186022718888655403e+00 2.281443478507089451e-01 1.598000685644240981e+01 4.436760587468169259e-02 -1.316281968486463283e+00 5.716954546135348814e+00 3.938381044421930544e-02 3.274521823221709232e-02 6.616364965331173131e+00 2.095283888522286864e-02 1.562624054657462125e-01 2.513620915484736026e-02 1.562624054657462125e-01 -4.902099609375000000e+00 -3.023153846893123387e+00 1.420943642874459911e+01 1.041171788279778608e-06
1.186885804412959766e+00 3.147317851397571364e-01 1.533357121765752140e+01 -4.052834315305616775e-01 -1.288199502687537912e+00 5.559551867626038479e+00 2.760646497505040917e-02 6.627347569073582106e-03 9.448906551470960480e+00 1.826296331339972295e-02 1.380933335332154011e-01 2.707561778408769729e-02 1.380933335332154011e-01 -3.570404052734375000e-01 -3.051818780239800688e+00 1.420943642874459911e+01 9.527248690501818147e-05
1.186444149438911078e+00 2.729607605860780994e-01 1.566502523330175478e+01 -1.825374140039589532e-01 -1.301662897510067252e+00 5.729565619642175811e+00 3.970518598671572696e-02 1.984241717731374463e-02 4.522467317287699906e+00 2.098942775085206602e-02 1.472401875323989806e-01 2.622972830035399938e-02 1.472401875323989806e-01 -9.935150146484375000e-01 -2.986825604655331201e+00 1.420943642874459911e+01 5.379925585310439332e-05
1.185992207955974376e+00 4.634975639018042992e-01 1.290328692958711976e+01 -8.034116059541824839e-01 -1.206547824332790508e+00 5.438023366507183098e+00 1.834725607245090524e-03 1.259680852492281802e-02 7.188156747129363922e+00 1.804950435814390783e-02 1.416481305755546982e-01 2.723084274148185671e-02 1.416481305755546982e-01 -7.534790039062500000e-01 -2.958013103758811546e+00 1.420943642874459911e+01 7.039400807594376700e-05
