# mc delta_mc R14 log_alpha_dyn log_f_disk beta_phi theta a1z a2z sigma_sys md vd mw vw lnL lnp lnps weights
1.186472555779944926e+00 1.014688627642309771e-01 2.939978206375094061e+01 2.459653318608580719e+00 -8.240668221122133819e-01 -5.147512961275639842e-01 5.498767203273364323e+00 3.471752271370490833e-02 5.399292982866876409e-03 3.272691063249180576e+00 2.035389697524351074e-02 1.416065692405867327e-01 2.653134790798567649e-02 1.416065692405867327e-01 -2.951202392578125000e-01 -3.487788880060552987e+00 1.351895117992415862e+01 1.148334419831463201e-04
1.185560342169176051e+00 1.272509746249692320e-01 1.669741732392729006e+01 1.139170912538680636e+00 -8.299180604607502287e-01 2.349344993920577940e-01 5.875482921616294263e+00 5.230591188276316125e-03 2.478065962991034266e-02 6.391150697411379866e+00 2.033491887312181487e-02 1.516353625989219633e-01 2.604137683974764444e-02 1.516353625989219633e-01 -2.482360839843750000e+00 -3.265711365974104385e+00 1.351895117992415862e+01 1.609195827913577367e-05
1.186146544260914037e+00 5.990041460064393641e-02 2.150640017566933082e+01 1.720491703565467434e+00 -8.358948492313210687e-01 1.225332948572402936e-01 5.645375710075571263e+00 7.157573297428803782e-04 1.010050884603842097e-02 1.106690526705595090e+01 1.721888873316009330e-02 1.371141641700487912e-01 2.580571632449758443e-02 1.371141641700487912e-01 -1.905563354492187500e+00 -3.411559154350353840e+00 1.351895117992415862e+01 2.476098820609664431e-05
1.185851549899286539e+00 1.821280748409733752e-01 2.954990854925950572e+01 2.087021628244078553e+00 -8.356525044318594553e-01 -9.751715200494459612e-01 5.885283222971893657e+00 3.034842292689092849e-02 3.749854256721486465e-03 2.185155997000409300e+00 2.001278783289888938e-02 1.437209893095747759e-01 2.582920276671803184e-02 1.437209893095747759e-01 -1.636001586914062500e+00 -3.239041214030536242e+00 1.351895117992415862e+01 3.852660595214052545e-05
1.186079550871505184e+00 9.408762718738936104e-02 2.567136567408477887e+01 2.051531593015273103e+00 -8.195961659154541445e-01 -2.569183545732265372e-01 5.623651897331667371e+00 1.217125610953935858e-02 2.589900249242705482e-02 6.741794511854116934e+00 1.736728050866588255e-02 1.398292857122447053e-01 2.680236109330911068e-02 1.398292857122447053e-01 -8.465423583984375000e-01 -3.417741698605727407e+00 1.351895117992415862e+01 7.095939487345790243e-05
1.186444770794389925e+00 8.778494664408995063e-02 2.389056103099533601e+01 1.826163885164790557e+00 -8.168599952823040189e-01 -1.505784359076726142e-01 5.622573692440892223e+00 1.261464075292581880e-02 5.242625231925778818e-03 4.334213506655880010e+00 1.480059029944779184e-02 1.413574926909249296e-01 2.696856575690541671e-02 1.413574926909249296e-01 -5.808471679687500000e+00 -3.419440898748951518e+00 1.351895117992415862e+01 4.958307148690808008e-07
1.185602474593013378e+00 2.194978363189538373e-01 2.659203737187945649e+01 1.421154464463449063e+00 -8.139219455406799808e-01 -1.057599484605982187e+00 5.404880496018840574e+00 1.053819169762932120e-02 1.383972066569036027e-02 8.116152167681892848e+00 1.644914722103962487e-02 1.446198173696616185e-01 2.714441385826947203e-02 1.446198173696616185e-01 -3.488739013671875000e+00 -3.496322534639416002e+00 1.351895117992415862e+01 4.670799793200439990e-06
1.186281881936694704e+00 4.055271768923147946e-02 3.136348058666039051e+01 2.762357253971201576e+00 -8.311765842522316206e-01 -5.554182411222472471e-01 5.737676728950340532e+00 2.200684352055376491e-02 5.610419088505250174e-03 6.035527142005523871e+00 1.977760686212266458e-02 1.477484056670356760e-01 2.610261930145848369e-02 1.477484056670356760e-01 -1.114471435546875000e+00 -3.360955956591344496e+00 1.351895117992415862e+01 5.745284216906893648e-05
1.185713329007307193e+00 1.694233308843953387e-02 2.911095345159035475e+01 2.544128418473800224e+00 -8.274873431028201276e-01 -3.696149065605709438e-01 5.477371794756436429e+00 1.436379905564998116e-02 3.303495667859961387e-03 2.106039205481922583e+00 1.891962944715600350e-02 1.432092328133680315e-01 2.632440961620742884e-02 1.432092328133680315e-01 -3.758850097656250000e-01 -3.512923193843099590e+00 1.351895117992415862e+01 1.032944516499718614e-04
1.186032733387448079e+00 3.715681521725833214e-02 2.179553819126645209e+01 1.909488394689091928e+00 -8.308543989731199675e-01 -4.350678837398574972e-02 5.342483710531390706e+00 1.370277921808753067e-02 2.636115475748139828e-02 6.378716771157562526e+00 2.323032944262382743e-02 1.488898805594056629e-01 2.610912559335277702e-02 1.488898805594056629e-01 -3.505203247070312500e+00 -3.590061529669430929e+00 1.351895117992415862e+01 4.183411619318910816e-06
