# mc delta_mc R14 alpha_dyn log_f_disk theta s1z s2z sigma_sys md vd mw vw lnL lnp lnps weights
1.185526072541952525e+00 4.807144254516373949e-02 1.625888156946894725e+01 1.288662813787529782e+00 3.196774055150536142e+00 5.692020550417872471e+00 6.729656613963781731e-02 8.356900550761682533e-02 7.274452959506818139e+00 2.389856149229672988e-02 1.820952946206257916e-01 1.000000000000000056e-01 1.820952946206257916e-01 -4.814235697460958363e+00 -6.780459458518747873e+00 1.699982999109069937e+01 1.927712264175306811e-05
1.185505738229930994e+00 4.700243466575381585e-02 1.645992433639105812e+01 8.038237802796776021e-01 9.180722540139256704e-01 6.051587787820756681e+00 7.946459679487813399e-02 6.869106804503101460e-02 3.779840911206814980e+00 2.622688391060531282e-02 1.803691230718653116e-01 1.000000000000000056e-01 1.803691230718653116e-01 -5.961968252539065816e+00 -6.577397394964504151e+00 1.699982999109069937e+01 7.495093046456992917e-06
1.185504689920853005e+00 4.731918088060199645e-02 1.663675375898805342e+01 3.686534642964118813e-01 1.589891739248629587e+00 5.491920241868349706e+00 9.237893499957385013e-02 7.747311187522494536e-02 6.218217537668197181e+00 2.288934001511697819e-02 1.788197536699622225e-01 1.000000000000000056e-01 1.788197536699622225e-01 -2.903589772070290564e+00 -6.895885848650796568e+00 1.699982999109069937e+01 1.160636297134953949e-04
1.185564710172474001e+00 4.622134105981100943e-02 1.655559947150781142e+01 5.583007556757306755e-01 3.585627336402957610e+00 5.819092564243214305e+00 9.166241322229110033e-02 7.813146516409273656e-02 1.181847092019326695e+00 2.451250836001852770e-02 1.795860353442408908e-01 1.000000000000000056e-01 1.795860353442408908e-01 -4.182413709960911774e+00 -6.708233871360187450e+00 1.699982999109069937e+01 3.897680057694260332e-05
1.185550087488228987e+00 4.623951655318757348e-02 1.680218989598737522e+01 2.022331669488612871e-01 3.799974012750661601e+00 5.934487896739391033e+00 7.918615395763797804e-02 9.950280520021580200e-02 5.657092232665362097e+00 2.374973981951374047e-02 1.774812060656701385e-01 1.000000000000000056e-01 1.774812060656701385e-01 -2.605233538476539934e+00 -6.643054084940510862e+00 1.699982999109069937e+01 2.014067650892963090e-04
1.185513471723743439e+00 4.501655194983446295e-02 1.686904217084251201e+01 1.882773452759046451e-01 -2.000347496154005977e+00 5.871835081961063629e+00 8.193856102397213681e-02 6.416216661461016102e-02 5.161182048035207970e+00 2.834013148225059814e-02 1.769841788310744790e-01 1.219836056548850639e-04 1.769841788310744790e-01 -6.383383116796892409e+00 -6.678547437926173558e+00 1.699982999109069937e+01 4.444572277175540692e-06
1.185567433685952521e+00 4.690651884720652143e-02 1.703698722338055660e+01 5.626267847388001508e-02 -1.471002832620768475e+00 5.681480378018138211e+00 9.744229135128466834e-02 8.480755357063543554e-02 4.350057778636754691e+00 2.153526220633433449e-02 1.755007694734469492e-01 4.324176530879063904e-04 1.755007694734469492e-01 0.000000000000000000e+00 -6.786592206045367170e+00 1.699982999109069937e+01 2.361428443076732473e-03
1.185582621451895635e+00 4.564612997084904755e-02 1.670428678796397293e+01 3.445951055893476944e-01 1.236355943442776217e+00 5.845338767287638682e+00 9.156921073915046116e-02 8.546458331358698646e-02 5.567241658522783077e+00 2.603004899152525781e-02 1.783444519607721990e-01 1.000000000000000056e-01 1.783444519607721990e-01 -4.687545375195270481e+00 -6.693408287804097689e+00 1.699982999109069937e+01 2.387090922804005325e-05
1.185545103740252681e+00 4.646363767829038427e-02 1.634159683630334570e+01 1.109659105496963116e+00 1.312101444967796349e+00 5.752694409180262980e+00 1.007207863255215469e-01 8.269397336418400635e-02 4.254050085943626769e+00 2.454584638782566705e-02 1.814464076320593255e-01 1.000000000000000056e-01 1.814464076320593255e-01 -3.448017683398433064e+00 -6.745975020353360385e+00 1.699982999109069937e+01 7.822751889688995565e-05
1.185541721716067975e+00 4.756434520933684046e-02 1.678931480506411233e+01 2.498066064993612057e-01 7.344251211125553125e-01 5.265776805022860607e+00 8.793509726505407964e-02 9.993838872710326948e-02 5.163061853290361825e+00 2.940941982569507743e-02 1.775146345307824225e-01 7.053464965585119761e-02 1.775146345307824225e-01 -5.549145908984371545e+00 -7.028085732367291172e+00 1.699982999109069937e+01 7.216590071679581895e-06
