# mc delta_mc R14 alpha_dyn log_f_disk theta s1z s2z sigma_sys md vd mw vw lnL lnp lnps weights
1.186002110740026261e+00 7.011195521122158027e-04 1.168290403337564243e+01 2.479794958856752274e+00 -2.399176951597913554e+00 6.208699510001158828e+00 2.586423589578039361e-02 2.366727237022163075e-02 1.249990739894820457e+00 1.228007685111994797e-02 2.400639385255570746e-01 5.406329624309179170e-05 2.400639385255570746e-01 -7.147521972656250000e-01 -6.492467518316436426e+00 1.384897892839439315e+01 3.883292380735976486e-04
1.185595918140698979e+00 1.940376817301233152e-03 1.166336481997867658e+01 2.258938809161204375e+00 2.099495675300131925e+00 6.063098034820399107e+00 2.187322343541588804e-02 7.601519235111035833e-03 5.098602195918402913e+00 1.114739546518954058e-02 2.403307825800686803e-01 1.000000000000000056e-01 2.403307825800686803e-01 -5.300506591796875000e+00 -6.573551481344808600e+00 1.384897892839439315e+01 3.651051374713302619e-06
1.186228557588140609e+00 1.034851222867992637e-02 1.159785363260236224e+01 2.342287640864663789e+00 5.397820191522261446e+00 6.200432745816971014e+00 4.196786403418204664e-02 4.585779179580137116e-02 3.937463339658695105e+00 1.145349186386972716e-02 2.415446540474258663e-01 1.000000000000000056e-01 2.415446540474258663e-01 -5.441467285156250000e+00 -6.496710420520106943e+00 1.384897892839439315e+01 3.424294761457717472e-06
1.185807114619783054e+00 1.286073371280419680e-02 1.155463541082666978e+01 2.425849335333186030e+00 -7.776434280829715995e-01 6.277410967881207782e+00 4.887313913028377282e-02 3.599901578001183516e-02 2.176627170308380599e+00 1.178376156527998972e-02 2.422129106656015773e-01 2.329560635210995833e-03 2.422129106656015773e-01 -4.185424804687500000e+00 -6.454623652563008740e+00 1.384897892839439315e+01 1.254126979784264036e-05
1.186667420942394635e+00 2.353205271562480597e-04 1.169238516428357144e+01 2.406566397846464422e+00 3.854104424594293477e+00 6.195171062718986654e+00 3.613843949122926003e-02 2.303397663802260117e-02 3.347976520822406599e+00 1.193119143255600909e-02 2.400137344245030224e-01 1.000000000000000056e-01 2.400137344245030224e-01 -1.980072021484375000e+00 -6.499373885857062660e+00 1.384897892839439315e+01 1.088126221154489331e-04
1.186260276133363378e+00 8.186828271470480587e-04 1.169268930030879616e+01 2.474149178226650925e+00 2.729378537641079738e+00 5.877652523452416844e+00 2.419626112295498316e-02 4.079164609305427347e-02 5.676642732823733439e+00 1.227378194912813990e-02 2.399393483484173473e-01 1.000000000000000056e-01 2.399393483484173473e-01 -1.498504638671875000e+00 -6.677064231445117848e+00 1.384897892839439315e+01 1.474522474126698163e-04
1.185731495256987289e+00 3.483763819706385090e-04 1.169259323376353521e+01 2.253205693718622449e+00 2.331236482940330035e+00 6.194537286091227557e+00 2.884214718200844157e-02 2.755058389355800538e-02 5.423064271617649368e+00 1.118424500879365222e-02 2.398515998433389806e-01 1.000000000000000056e-01 2.398515998433389806e-01 -3.425354003906250000e+00 -6.500512793926486843e+00 1.384897892839439315e+01 2.561572573192529421e-05
1.185860838140946338e+00 1.742766494447298403e-03 1.167443860077558071e+01 2.469559924461514733e+00 -3.987434266184560983e+00 6.106400281782125461e+00 4.413943303211838309e-02 2.260576863287717952e-02 5.579677147333423903e+00 1.221155387805717210e-02 2.401849775018001787e-01 1.413962054571584533e-06 2.401849775018001787e-01 -9.715576171875000000e-01 -6.549226465749351966e+00 1.384897892839439315e+01 2.838055056207546673e-04
1.186303345169008150e+00 4.946327348789931327e-03 1.165404656165987873e+01 2.325391921670290518e+00 2.850350192474164324e+00 6.140140793463593205e+00 3.560771128548721048e-02 1.245073356260234347e-02 7.316478552124219270e+00 1.145734664879222327e-02 2.406056069133348796e-01 1.000000000000000056e-01 2.406056069133348796e-01 -3.861297607421875000e+00 -6.530099349618480709e+00 1.384897892839439315e+01 1.608160850389161011e-05
1.186663822081992059e+00 4.389422901061445538e-03 1.164996279345476360e+01 2.486587853948512450e+00 3.086461246533058311e+00 6.336639676164125490e+00 4.659523740013023219e-02 4.707349628829823884e-02 2.979157953293456451e+00 1.222893528219412898e-02 2.407391810246422015e-01 1.000000000000000056e-01 2.407391810246422015e-01 -1.871368408203125000e+00 -6.421636131422969740e+00 1.384897892839439315e+01 1.311142010922885105e-04
